company,website,symbol,dividend,announcement_date,record_date,ex_date,pay_date
Thomson Reuters Corp,,TRI:CA,0.35,2018-10-06,2018-11-15,2018-11-14,2018-12-17
TJX Companies Inc,http://www.tjx.com,TJX,0.39,2018-09-18,2018-11-15,2018-11-14,2018-12-06
TransAlta Renewables Inc,,RNW:CA,0.07833,2018-08-02,2018-11-15,2018-11-14,2018-11-30
UMH Properties Inc,http://www.umh.reit,UMH,0.18,2018-10-01,2018-11-15,2018-11-14,2018-12-17
Unitil Corp,http://www.unitil.com,UTL,0.365,2018-10-24,2018-11-15,2018-11-14,2018-11-29
Vectren Corp,http://www.vectren.com,VVC,0.48,2018-11-01,2018-11-15,2018-11-14,2018-12-03
Allison Transmission Holdings Inc,http://www.allisontransmission.com,ALSN,0.15,2018-10-25,2018-11-19,2018-11-16,2018-11-30
American Software Inc,http://www.amsoftware.com,AMSWA,0.11,2018-08-23,2018-11-19,2018-11-16,2018-12-05
AmerisourceBergen Corp,http://www.amerisourcebergen.com,ABC,0.4,2018-11-06,2018-11-19,2018-11-16,2018-12-03
Black Hills Corp,http://www.blackhillscorp.com,BKH,0.505,2018-10-30,2018-11-19,2018-11-16,2018-12-01
Bunge Ltd,http://www.bunge.com,BG,0.5,2018-08-03,2018-11-19,2018-11-16,2018-12-03
Carlisle Companies Inc,http://www.carlisle.com,CSL,0.4,2018-11-05,2018-11-19,2018-11-16,2018-12-03
Chesapeake Granite Wash Trust,http://www.chkgranitewashtrust.com,CHKR,0.0534,2018-11-02,2018-11-19,2018-11-16,2018-11-29
CNA Financial Corp,http://www.cna.com,CNA,0.35,2018-11-05,2018-11-19,2018-11-16,2018-12-05
Deluxe Corp,http://www.deluxe.com,DLX,0.3,2018-10-25,2018-11-19,2018-11-16,2018-12-03
Emerald Plantation Holdings Ltd,,EMEXF,0.025,2018-10-12,2018-11-02,2018-11-16,2018-11-15
Genie Energy Ltd,http://www.genie.com,GNE,0.075,2018-11-05,2018-11-19,2018-11-16,2018-11-30
Horizon Technology Finance Corp,http://www.horizontechnologyfinancecorp.com,HRZN,0.1,2018-07-31,2018-11-19,2018-11-16,2018-12-14
j2 Global Inc,http://www.j2global.com,JCOM,0.435,2018-11-06,2018-11-19,2018-11-16,2018-12-05
Jefferies Financial Group Inc,http://www.jefferies.com,JEF,0.125,2018-10-25,2018-11-19,2018-11-16,2018-11-30
Oshkosh Corp,http://www.oshkoshcorp.com,OSK,0.27,2018-11-01,2018-11-19,2018-11-16,2018-12-03
Phillips 66,http://www.phillips66.com,PSX,0.8,2018-10-05,2018-11-19,2018-11-16,2018-12-03
Quad/Graphics Inc,http://www.qg.com,QUAD,0.3,2018-11-02,2018-11-19,2018-11-16,2018-12-07
Ryder System Inc,http://www.ryder.com,R,0.54,2018-10-05,2018-11-19,2018-11-16,2018-12-21
Sleep Country Canada Holdings Inc,,ZZZ:CA,0.185,2018-11-01,2018-11-19,2018-11-16,2018-11-29
Southern Co,http://www.southerncompany.com,SO,0.6,2018-10-15,2018-11-19,2018-11-16,2018-12-06
Symantec Corp,http://www.symantec.com,SYMC,0.075,2018-11-01,2018-11-19,2018-11-16,2018-12-12
Tiptree Inc,http://www.tiptreeinc.com,TIPT,0.035,2018-11-05,2018-11-19,2018-11-16,2018-11-26
Aflac Inc,http://www.aflac.com,AFL,0.26,2018-10-24,2018-11-21,2018-11-20,2018-12-03
Autoliv Inc,http://www.autoliv.com,ALV,0.62,2018-08-15,2018-11-21,2018-11-20,2018-12-06
Capitala Finance Corp,http://www.capitalagroup.com,CPTA,0.0833,2018-10-01,2018-11-21,2018-11-20,2018-11-29
Discover Financial Services,http://www.discover.com,DFS,0.4,2018-10-18,2018-11-21,2018-11-20,2018-12-06
Hawaiian Electric Industries Inc,http://www.hei.com,HE,0.31,2018-11-01,2018-11-21,2018-11-20,2018-12-11
Hershey Co,http://www.thehersheycompany.com,HSY,0.722,2018-10-25,2018-11-21,2018-11-20,2018-12-14
Hometrust Bancshares Inc,http://www.htb.com,HTBI,0.06,2018-11-01,2018-11-21,2018-11-20,2018-12-06
LTC Properties Inc,http://www.LTCreit.com,LTC,0.19,2018-10-01,2018-11-21,2018-11-20,2018-11-30
Marathon Oil Corp,http://www.marathonoil.com,MRO,0.05,2018-10-30,2018-11-21,2018-11-20,2018-12-10
Marathon Petroleum Corp,http://www.marathonpetroleum.com,MPC,0.46,2018-10-31,2018-11-21,2018-11-20,2018-12-10
Moody's Corp,http://www.moodys.com,MCO,0.44,2018-10-23,2018-11-21,2018-11-20,2018-12-12
Nielsen Holdings PLC,http://www.nielsen.com,NLSN,0.35,2018-10-19,2018-11-21,2018-11-20,2018-12-05
Nordic American Tanker Ltd,http://www.nat.bm,NAT,0.01,2018-11-01,2018-11-21,2018-11-20,2018-12-07
Panhandle Oil and Gas Inc,http://www.panhandleoilandgas.com,PHX,0.04,2018-10-26,2018-11-21,2018-11-20,2018-12-06
Spectra Energy Partners LP,http://www.spectraenergypartners.com,SEP,0.77625,2018-11-01,2018-11-21,2018-11-20,2018-11-29
Target Corp,http://investors.target.com,TGT,0.64,2018-09-19,2018-11-21,2018-11-20,2018-12-10
Vulcan Materials Co,http://www.vulcanmaterials.com,VMC,0.28,2018-10-12,2018-11-21,2018-11-20,2018-12-07
Alaska Air Group Inc,http://www.alaskaair.com,ALK,0.32,2018-11-01,2018-11-20,2018-11-19,2018-12-06
Apollo Global Management LLC,http://www.apollo.com,APO,0.46,2018-10-31,2018-11-20,2018-11-19,2018-11-30
Brunswick Corp,http://www.brunswick.com,BC,0.21,2018-10-16,2018-11-20,2018-11-19,2018-12-14
Cable ONE Inc,http://www.cableone.net,CABO,2,2018-11-05,2018-11-20,2018-11-19,2018-12-07
Cognizant Technology Solutions Corp,http://www.cognizant.com,CTSH,0.2,2018-10-30,2018-11-20,2018-11-19,2018-11-30
Core-Mark Holding Company Inc,http://www.core-mark.com,CORE,0.11,2018-11-06,2018-11-20,2018-11-19,2018-12-14
Crawford & Co,http://www.crawfordandcompany.com,CRD/B,0.05,2018-11-05,2018-11-20,2018-11-19,2018-12-06
Fortis Inc,,FTS:CA,0.45,2018-10-15,2018-11-20,2018-11-19,2018-12-01
Gladstone Capital Corp,http://www.gladstonecapital.com,GLAD,0.07,2018-10-09,2018-11-20,2018-11-19,2018-11-30
Gladstone Commercial Corp,http://www.gladstonecommercial.com,GOOD,0.125,2018-10-09,2018-11-20,2018-11-19,2018-11-30
Gladstone Investment Corp,http://www.gladstoneinvestment.com,GAIN,0.068,2018-10-09,2018-11-20,2018-11-19,2018-11-30
Gladstone Land Corp,http://www.gladstoneland.com,LAND,0.0444,2018-10-09,2018-11-20,2018-11-19,2018-11-30
LeMaitre Vascular Inc,http://www.lemaitre.com,LMAT,0.07,2018-10-04,2018-11-20,2018-11-19,2018-12-06
Main Street Capital Corp,http://www.mainstcapital.com,MAIN,0.195,2018-08-01,2018-11-20,2018-11-19,2018-12-14
Manulife Financial Corp,,MFC:CA,0.25,2018-11-01,2018-11-20,2018-11-19,2018-12-19
Olympia Financial Group Inc,,OLY:CA,0.2,2018-11-06,2018-11-20,2018-11-19,2018-11-30
Ormat Technologies Inc,http://www.ormat.com,ORA,0.1,2018-11-06,2018-11-20,2018-11-19,2018-12-04
PacWest Bancorp,http://www.pacwestbancorp.com,PACW,0.6,2018-11-05,2018-11-20,2018-11-19,2018-11-30
Summit State Bank,http://www.summitstatebank.com,SSBI,0.12,2018-10-23,2018-11-20,2018-11-19,2018-11-27
TechnipFMC PLC,http://www.technipfmc.com,FTI,0.13,2018-10-23,2018-11-20,2018-11-19,2018-12-05
TransAct Technologies Inc,http://www.transact-tech.com,TACT,0.09,2018-11-05,2018-11-20,2018-11-19,2018-12-14
Valero Energy Corp,http://www.valero.com,VLO,0.8,2018-10-31,2018-11-20,2018-11-19,2018-12-12
Zoetis Inc,http://www.zoetis.com,ZTS,0.126,2018-10-10,2018-11-20,2018-11-19,2018-12-03
Allegiant Travel Co,http://ir.allegiantair.com,ALGT,0.7,2018-10-24,2018-11-23,2018-11-21,2018-12-05
Applied Materials Inc,http://www.appliedmaterials.com,AMAT,0.2,2018-09-06,2018-11-23,2018-11-21,2018-12-13
Carnival Corp,http://www.carnival.com,CCL,0.5,2018-10-17,2018-11-23,2018-11-21,2018-12-14
Finning International Inc,,FTT:CA,0.2,2018-11-05,2018-11-22,2018-11-21,2018-12-06
FLIR Systems Inc,http://www.flir.com,FLIR,0.16,2018-10-30,2018-11-23,2018-11-21,2018-12-07
Forward Air Corp,http://www.forwardair.com,FWRD,0.18,2018-10-24,2018-11-23,2018-11-21,2018-12-07
Harris Corp,http://www.harris.com,HRS,0.685,2018-10-26,2018-11-23,2018-11-21,2018-12-07
Healthcare Services Group Inc,http://www.hcsg.com,HCSG,0.195,2018-10-16,2018-11-23,2018-11-21,2018-12-28
Oxford Lane Capital Corp,,OXLC,0.135,2018-08-07,2018-11-23,2018-11-21,2018-11-30
Robert Half International Inc,http://www.roberthalf.com,RHI,0.28,2018-10-30,2018-11-23,2018-11-21,2018-12-14
United States Lime & Minerals Inc,http://www.uslm.com,USLM,0.135,2018-10-30,2018-11-23,2018-11-21,2018-12-14
AltaGas Ltd,,ALA:CA,0.1825,2018-10-30,2018-11-26,2018-11-23,2018-12-17
CDW Corp,http://www.cdw.com,CDW,0.295,2018-10-31,2018-11-26,2018-11-23,2018-12-10
Dunkin' Brands Group Inc,http://www.dunkinbrands.com,DNKN,0.3475,2018-10-25,2018-11-26,2018-11-23,2018-12-05
First Hawaiian Inc,http://www.fhb.com,FHB,0.24,2018-10-25,2018-11-26,2018-11-23,2018-12-07
Husky Energy Inc,,HSE:CA,0.125,2018-10-25,2018-11-26,2018-11-23,2019-01-02
Marcus Corp,http://www.marcuscorp.com,MCS,0.15,2018-11-01,2018-11-26,2018-11-23,2018-12-17
MKS Instruments Inc,http://www.mksinst.com,MKSI,0.2,2018-10-30,2018-11-26,2018-11-23,2018-12-07
Barnes Group Inc,http://www.barnesgroupinc.com,B,0.16,2018-10-18,2018-11-27,2018-11-26,2018-12-10
CRA International Inc,http://www.charlesriverassociates.com,CRAI,0.2,2018-11-01,2018-11-27,2018-11-26,2018-12-21
Educational Development Corp,http://www.edcpub.com,EDUC,0.05,2018-10-16,2018-11-27,2018-11-26,2018-12-13
Johnson & Johnson,http://www.jnj.com,JNJ,0.9,2018-10-18,2018-11-27,2018-11-26,2018-12-11
Navios Maritime Acquisition Corp,http://www.navios-acquisition.com,NNA,0.02,2018-11-06,2018-11-27,2018-11-26,2018-12-05
Yum China Holdings Inc,http://www.yumchina.com,YUMC,0.12,2018-10-30,2018-11-27,2018-11-26,2018-12-18
Blackbaud Inc,http://www.blackbaud.com,BLKB,0.12,2018-10-29,2018-11-28,2018-11-27,2018-12-14
Hyatt Hotels Corp,http://www.hyatt.com,H,0.15,2018-10-30,2018-11-28,2018-11-27,2018-12-10
Phibro Animal Health Corp,http://www.pahc.com,PAHC,0.12,2018-11-05,2018-11-28,2018-11-27,2018-12-19
Piper Jaffray Companies,http://www.piperjaffray.com,PJC,0.375,2018-10-26,2018-11-28,2018-11-27,2018-12-14
PVH Corp,http://www.pvh.com,PVH,0.0375,2018-10-26,2018-11-28,2018-11-27,2018-12-21
S&P Global Inc,http://www.spglobal.com,SPGI,0.5,2018-10-29,2018-11-28,2018-11-27,2018-12-12
STERIS plc,http://www.steris.com,STE,0.34,2018-11-06,2018-11-28,2018-11-27,2018-12-21
ACCO Brands Corp,http://www.accobrands.com,ACCO,0.06,2018-10-30,2018-11-30,2018-11-29,2018-12-19
ACNB Corp,http://www.acnb.com,ACNB,0.23,2018-10-29,2018-11-30,2018-11-29,2018-12-14
Acushnet Holdings Corp,http://www.acushnetholdingscorp.com,GOLF,0.13,2018-11-02,2018-11-30,2018-11-29,2018-12-14
Ag Growth International Inc,,AFN:CA,0.2,2018-08-09,2018-11-30,2018-11-29,2018-12-14
Agnico Eagle Mines Ltd,,AEM:CA,0.11,2018-02-14,2018-11-30,2018-11-29,2018-12-14
Aircastle Ltd,http://www.aircastle.com,AYR,0.3,2018-11-01,2018-11-30,2018-11-29,2018-12-14
AltaGas Canada Inc,,ACI:CA,0.1744,2018-10-31,2018-11-30,2018-11-29,2018-12-31
American Core Sectors Dividend Fund,,ACZ_UN:CA,0.04583,2018-10-19,2018-11-30,2018-11-29,2018-12-14
Arch Coal Inc,http://www.archcoal.com,ARCH,0.4,2018-10-23,2018-11-30,2018-11-29,2018-12-14
Argo Group International Holdings Ltd,http://www.argolimited.com,ARGO,0.27,2018-11-06,2018-11-30,2018-11-29,2018-12-14
Arrow Financial Corp,http://www.arrowfinancial.com,AROW,0.26,2018-10-31,2018-11-30,2018-11-29,2018-12-14
Atrium Mortgage Investment Corp,,AI:CA,0.075,2018-11-01,2018-11-30,2018-11-29,2018-12-12
Bank of Hawaii Corp,http://www.boh.com,BOH,0.62,2018-10-22,2018-11-30,2018-11-29,2018-12-14
Bank of the James,http://www.bankofthejames.bank,BOTJ,0.06,2018-10-19,2018-11-30,2018-11-29,2018-12-14
Barrick Gold Corp,,ABX:CA,0.03,2018-10-24,2018-11-30,2018-11-29,2018-12-17
Big 5 Sporting Goods Corp,http://www.big5sportinggoods.com,BGFV,0.05,2018-10-30,2018-11-30,2018-11-29,2018-12-14
Bloom Select Income Fund,,BLB_UN:CA,0.041666,2018-08-02,2018-11-30,2018-11-29,2018-12-17
Bloom U.S. Income & Growth Fund,,BUA_UN:CA,0.05,2018-08-02,2018-11-30,2018-11-29,2018-12-17
Blue Ribbon Income Fund,,RBN_UN:CA,0.05,2018-10-24,2018-11-30,2018-11-29,2018-12-14
Brookfield Business Partners LP,,BBU_UN:CA,0.0625,2018-11-02,2018-11-30,2018-11-29,2018-12-31
Brookfield Infrastructure Partners LP,http://www.brookfieldinfrastructure.com,BIP,0.47,2018-11-02,2018-11-30,2018-11-29,2018-12-31
Brookfield Property Partners LP,http://bpy.brookfield.com,BPY,0.315,2018-11-01,2018-11-30,2018-11-29,2018-12-31
Brookfield Renewable Partners LP,,BEP_UN:CA,0.49,2018-04-06,2018-11-30,2018-11-29,2018-12-31
Cameco Corp,,CCO:CA,0.08,2017-11-08,2018-11-30,2018-11-29,2018-12-14
Canadian General Investments Ltd,,CGI:CA,0.19,2018-10-17,2018-11-30,2018-11-29,2018-12-15
Canadian High Income Equity Fund,,CIQ_UN:CA,0.05,2018-10-24,2018-11-30,2018-11-29,2018-12-14
Canadian Preferred Securities Trust,,PFT_UN:CA,0.0333,2018-09-17,2018-11-30,2018-11-29,2018-12-14
Canso Credit Income Fund,,PBY_UN:CA,0.04166,2018-09-13,2018-11-30,2018-11-29,2018-12-17
CatchMark Timber Trust Inc,http://www.catchmark.com,CTT,0.135,2018-11-01,2018-11-30,2018-11-29,2018-12-13
Cboe Global Markets Inc,http://www.cboe.com,CBOE,0.31,2018-10-30,2018-11-30,2018-11-29,2018-12-14
Central Pacific Financial Corp,http://www.centralpacificbank.com,CPF,0.21,2018-10-24,2018-11-30,2018-11-29,2018-12-17
Citadel Income Fund,,CTF_UN:CA,0.01,2018-01-12,2018-11-30,2018-11-29,2018-12-17
Coca-Cola Co,http://www.coca-colacompany.com,KO,0.39,2018-10-18,2018-11-30,2018-11-29,2018-12-14
Colony Credit Real Estate Inc,http://www.clncredit.com,CLNC,0.145,2018-11-06,2018-11-30,2018-11-29,2018-12-10
Commerce Bancshares Inc,http://www.commercebank.com,CBSH,0.235,2018-10-26,2018-11-30,2018-11-29,2018-12-17
Crane Co,http://www.craneco.com,CR,0.35,2018-10-22,2018-11-30,2018-11-29,2018-12-10
Crius Energy Trust,,KWH_UN:CA,0.0697,2018-10-10,2018-11-30,2018-11-29,2018-12-17
CSS Industries Inc,http://www.cssindustries.com,CSS,0.2,2018-10-31,2018-11-30,2018-11-29,2018-12-14
CSX Corp,http://www.csx.com,CSX,0.22,2018-10-03,2018-11-30,2018-11-29,2018-12-14
Cullen/Frost Bankers Inc,http://www.frostbank.com,CFR,0.67,2018-10-31,2018-11-30,2018-11-29,2018-12-14
Dover Corp,http://www.dovercorporation.com,DOV,0.48,2018-11-01,2018-11-30,2018-11-29,2018-12-17
DowDuPont Inc,http://www.dow-dupont.com,DWDP,0.38,2018-10-11,2018-11-30,2018-11-29,2018-12-14
E Split Corp,,ENS:CA,0.1,2018-10-19,2018-11-30,2018-11-29,2018-12-14
East Coast Investment Grade Income Fund,,ECF_UN:CA,0.04,2018-10-16,2018-11-30,2018-11-29,2018-12-14
Eclipse Residential Mortgage Investment Corp,,ERM:CA,0.0625,2018-10-24,2018-11-30,2018-11-29,2018-12-14
Ellington Financial LLC,http://www.ellingtonfinancial.com,EFC,0.41,2018-10-31,2018-11-30,2018-11-29,2018-12-17
Energy Income Fund,,ENI_UN:CA,0.01,2018-01-12,2018-11-30,2018-11-29,2018-12-17
Estee Lauder Companies Inc,http://www.elcompanies.com,EL,0.43,2018-10-31,2018-11-30,2018-11-29,2018-12-17
European Dividend Growth Fund,,EDGF_UN:CA,0.0416,2018-10-24,2018-11-30,2018-11-29,2018-12-14
Firm Capital Mortgage Investment Corp,,FC:CA,0.078,2018-10-12,2018-11-30,2018-11-29,2018-12-17
Firm Capital Property Trust,,FCD_UN:CA,0.038333,2018-08-03,2018-11-30,2018-11-29,2018-12-14
First Financial Northwest Inc,http://www.ffnwb.com,FFNW,0.08,2018-10-25,2018-11-30,2018-11-29,2018-12-14
First National Financial Corp,,FN:CA,1,2018-10-30,2018-11-30,2018-11-29,2018-12-17
First Northwest Bancorp,http://www.ourfirstfed.com,FNWB,0.03,2018-10-30,2018-11-30,2018-11-29,2018-12-14
Flaherty & Crumrine Investment Grade Fixed Income Fund,,FFI_UN:CA,0.07,2018-10-24,2018-11-30,2018-11-29,2018-12-14
Fortune Brands Home & Security Inc,http://www.fbhs.com,FBHS,0.2,2018-09-24,2018-11-30,2018-11-29,2018-12-19
Global Dividend Growers Income Fund,,GDG_UN:CA,0.055,2018-10-19,2018-11-30,2018-11-29,2018-12-14
Global Innovation Dividend Fund,,BL_UN:CA,0.033,2018-10-19,2018-11-30,2018-11-29,2018-12-14
Global Real Estate Dividend Growers Corp,,GRL:CA,0.05,2018-10-19,2018-11-30,2018-11-29,2018-12-14
Goldman Sachs Group Inc,http://www.goldmansachs.com,GS,0.8,2018-10-16,2018-11-30,2018-11-29,2018-12-28
GrafTech International Ltd,http://www.graftech.com,EAF,0.085,2018-11-02,2018-11-30,2018-11-29,2018-12-31
Great Elm Capital Corp,http://www.greatelmcc.com,GECC,0.083,2018-08-10,2018-11-30,2018-11-29,2018-12-14
Herman Miller Inc,http://www.hermanmiller.com,MLHR,0.1975,2018-10-16,2018-12-01,2018-11-29,2019-01-15
Hubbell Inc,http://www.hubbell.com,HUBB,0.84,2018-10-19,2018-11-30,2018-11-29,2018-12-14
Investment Grade Infrastructure Bond Fund,,IFB_UN:CA,0.04166,2018-09-17,2018-11-30,2018-11-29,2018-12-14
Manulife Floating Rate Senior Loan Fund,,MFR_UN:CA,0.05625,2018-09-19,2018-11-30,2018-11-29,2018-12-14
Manulife U.S. Regional Bank Trust,,MBK_UN:CA,0.0416,2018-09-19,2018-11-30,2018-11-29,2018-12-14
Melcor Real Estate Investment Trust,,MR_UN:CA,0.05625,2018-10-15,2018-11-30,2018-11-29,2018-12-17
Mesa Laboratories Inc,http://www.mesalabs.com,MLAB,0.16,2018-10-02,2018-11-30,2018-11-29,2018-12-17
MGE Energy Inc,http://www.mgeenergy.com,MGEE,0.3375,2018-10-19,2018-12-01,2018-11-29,2018-12-15
Middlefield Can-Global REIT Income Fund,,RCO_UN:CA,0.05416,2018-10-19,2018-11-30,2018-11-29,2018-12-14
Middlefield Healthcare & Life Sciences Dividend Fund,,LS_UN:CA,0.04167,2018-10-19,2018-11-30,2018-11-29,2018-12-14
Middlefield Healthcare & Wellness Dividend Fund,,HWF_UN:CA,0.04167,2018-10-19,2018-11-30,2018-11-29,2018-12-14
Midwestone Financial Group Inc,http://www.midwestone.com,MOFG,0.195,2018-10-17,2018-12-01,2018-11-29,2018-12-17
MINT Income Fund,,MID_UN:CA,0.04,2018-10-19,2018-11-30,2018-11-29,2018-12-14
NBT Bancorp Inc,http://www.nbtbancorp.com,NBTB,0.26,2018-10-22,2018-11-30,2018-11-29,2018-12-14
Nextera Energy Inc,http://www.nexteraenergy.com,NEE,1.11,2018-10-12,2018-11-30,2018-11-29,2018-12-17
Nexus Real Estate Investment Trust,,NXR_UN:CA,0.01333,2018-10-22,2018-11-30,2018-11-29,2018-12-14
Norbord Inc,,OSB:CA,0.6,2018-11-01,2018-12-01,2018-11-29,2018-12-21
North American Construction Group Ltd,,NOA:CA,0.02,2018-10-30,2018-11-30,2018-11-29,2019-01-04
North American Preferred Share Fund,,NPF_UN:CA,0.1146,2018-09-17,2018-11-30,2018-11-29,2018-12-14
Open Text Corp,,OTEX:CA,0.1518,2018-10-31,2018-11-30,2018-11-29,2018-12-20
Pathfinder Income Fund,,PCD_UN:CA,0.05,2018-10-19,2018-11-30,2018-11-29,2018-12-14
Peoples Financial Services Corp,http://www.psbt.com,PFIS,0.33,2018-10-26,2018-11-30,2018-11-29,2018-12-14
Perrigo Company PLC,http://www.perrigo.com,PRGO,0.19,2018-10-31,2018-11-30,2018-11-29,2018-12-18
Peyto Exploration & Development Corp,,PEY:CA,0.06,2018-10-15,2018-11-30,2018-11-29,2018-12-14
Piedmont Office Realty Trust Inc,http://www.piedmontreit.com,PDM,0.21,2018-10-31,2018-11-30,2018-11-29,2019-01-03
Power Integrations Inc,http://www.power.com,POWI,0.16,2018-10-25,2018-11-30,2018-11-29,2018-12-31
Real Asset Income and Growth Fund,,RAI_UN:CA,0.04167,2018-09-17,2018-11-30,2018-11-29,2018-12-14
REIT INDEXPLUS Income Fund,,IDR_UN:CA,0.065,2018-10-19,2018-11-30,2018-11-29,2018-12-14
Savings Bank,,SCIV,0.15,2018-10-29,2018-12-01,2018-11-29,2018-12-15
Savings Bank,,SCIV,0.7,2018-10-30,2018-12-01,2018-11-29,2018-12-15
Senior Secured Floating Rate Loan Fund,,FRL_UN:CA,0.054167,2018-09-17,2018-11-30,2018-11-29,2018-12-14
Spark Energy Inc,http://www.sparkenergy.com,SPKE,0.18125,2018-10-18,2018-11-30,2018-11-29,2018-12-14
STAG Industrial Inc,http://www.stagindustrial.com,STAG,0.118333,2018-10-10,2018-11-30,2018-11-29,2018-12-17
Stanley Black & Decker Inc,http://www.stanleyblackanddecker.com,SWK,0.66,2018-10-18,2018-11-30,2018-11-29,2018-12-18
Stellus Capital Investment Corp,http://www.stelluscapital.com,SCM,0.1133,2018-10-17,2018-11-30,2018-11-29,2018-12-14
Stepan Co,http://www.stepan.com,SCL,0.25,2018-10-24,2018-11-30,2018-11-29,2018-12-14
Symphony Floating Rate Senior Loan Fund,,SSF_UN:CA,0.05,2018-10-24,2018-11-30,2018-11-29,2018-12-14
Taylor North American Equity Opportunities Fund,,TOF_UN:CA,0.052,2018-10-24,2018-11-30,2018-11-29,2018-12-14
Top 20 US Dividend Trust,,TUT_UN:CA,0.0417,2018-10-18,2018-11-30,2018-11-29,2018-12-14
Triplepoint Venture Growth BDC Corp,http://www.tpvg.com,TPVG,0.36,2018-11-02,2018-11-30,2018-11-29,2018-12-14
Trustmark Corp,http://www.trustmark.com,TRMK,0.23,2018-10-23,2018-12-01,2018-11-29,2018-12-15
Tsakos Energy Navigation Ltd,http://www.tenn.gr,TNP,0.05,2018-09-07,2018-11-30,2018-11-29,2018-12-06
TWC Enterprises Ltd,,TWC:CA,0.02,2018-11-05,2018-11-30,2018-11-29,2018-12-14
Tyson Foods Inc,http://www.tysonfoods.com,TSN,0.3,2018-08-09,2018-11-30,2018-11-29,2018-12-14
United Bancshares Inc,http://www.theubank.com,UBOH,0.12,2018-10-22,2018-11-30,2018-11-29,2018-12-17
Universal Forest Products Inc,http://www.ufpi.com,UFPI,0.18,2018-10-17,2018-12-01,2018-11-29,2018-12-15
Voya Financial Inc,http://www.voya.com,VOYA,0.01,2018-10-25,2018-11-30,2018-11-29,2018-12-27
Watts Water Technologies Inc,http://www.wattswater.com,WTS,0.21,2018-11-02,2018-11-30,2018-11-29,2018-12-14
Maxim Integrated Products Inc,http://www.maximintegrated.com,MXIM,0.46,2018-10-30,2018-11-29,2018-11-28,2018-12-13
Associated Banc-Corp,http://www.associatedbank.com,ASB,0.17,2018-10-23,2018-12-03,2018-11-30,2018-12-17
Ball Corp,http://www.ball.com,BLL,0.1,2018-10-24,2018-12-03,2018-11-30,2018-12-17
Boise Cascade Co,http://www.bc.com,BCC,0.09,2018-11-02,2018-12-03,2018-11-30,2018-12-17
Cadence Bancorp,http://www.cadencebank.com,CADE,0.15,2018-10-22,2018-12-03,2018-11-30,2018-12-17
Clearway Energy Inc,http://investor.clearwayenergy.com,CWEN/A,0.331,2018-11-06,2018-12-03,2018-11-30,2018-12-17
Cooper Tire & Rubber Co,http://www.coopertire.com,CTB,0.105,2018-10-26,2018-12-03,2018-11-30,2018-12-28
Diamond Hill Investment Group Inc,http://www.diamond-hill.com,DHIL,8,2018-10-30,2018-12-03,2018-11-30,2018-12-11
Ensco PLC,http://www.enscoplc.com,ESV,0.01,2018-11-06,2018-12-03,2018-11-30,2018-12-14
F.N.B. Corp,http://www.fnb-online.com,FNB,0.12,2018-10-17,2018-12-03,2018-11-30,2018-12-15
First Financial Bancorp,http://www.bankatfirst.com,FFBC,0.2,2018-10-23,2018-12-03,2018-11-30,2018-12-17
FNCB Bancorp Inc,http://www.fncb.com,FNCB,0.05,2018-10-31,2018-12-03,2018-11-30,2018-12-17
FutureFuel Corp,http://www.futurefuelcorporation.com,FF,0.06,2017-12-06,2018-12-03,2018-11-30,2018-12-17
Great-West Lifeco Inc,,GWO:CA,0.389,2018-10-31,2018-12-03,2018-11-30,2018-12-31
H & R Block Inc,http://www.hrblock.com,HRB,0.25,2018-11-01,2018-12-03,2018-11-30,2019-01-02
Hartford Financial Services Group Inc,http://www.thehartford.com,HIG,0.3,2018-10-18,2018-12-03,2018-11-30,2019-01-02
HCA Healthcare Inc,http://www.hcahealthcare.com,HCA,0.35,2018-10-30,2018-12-03,2018-11-30,2018-12-28
Houlihan Lokey Inc,http://www.hl.com,HLI,0.27,2018-10-25,2018-12-03,2018-11-30,2018-12-14
Imperial Oil Ltd,,IMO:CA,0.19,2018-11-02,2018-12-03,2018-11-30,2019-01-01
Kellogg Co,http://www.kelloggcompany.com,K,0.56,2018-10-19,2018-12-03,2018-11-30,2018-12-17
Lockheed Martin Corp,http://www.lockheedmartin.com,LMT,2.2,2018-09-27,2018-12-03,2018-11-30,2018-12-28
Mcdonald's Corp,http://www.aboutmcdonalds.com,MCD,1.16,2018-09-20,2018-12-03,2018-11-30,2018-12-17
McKesson Corp,http://www.mckesson.com,MCK,0.39,2018-10-25,2018-12-03,2018-11-30,2019-01-02
Metalla Royalty & Streaming Ltd,,MTA:CA,0.0015,2018-09-17,2018-12-03,2018-11-30,2018-12-17
Nathan's Famous Inc,http://www.nathansfamous.com,NATH,0.25,2018-11-02,2018-12-03,2018-11-30,2018-12-14
Old National Bancorp,http://www.oldnational.com,ONB,0.13,2018-10-25,2018-12-03,2018-11-30,2018-12-17
Pennsylvania Real Estate Investment Trust,http://www.preit.com,PEI,0.21,2018-10-23,2018-12-03,2018-11-30,2018-12-17
Polaris Industries Inc,http://www.polaris.com,PII,0.6,2018-10-24,2018-12-03,2018-11-30,2018-12-17
Principal Financial Group Inc,http://www.principal.com,PFG,0.54,2018-10-26,2018-12-03,2018-11-30,2018-12-28
Progress Software Corp,http://www.progress.com,PRGS,0.155,2018-09-27,2018-12-03,2018-11-30,2018-12-17
