company,website,symbol,dividend,announcement_date,record_date,ex_date,pay_date
Alliance Resource Partners LP,http://www.arlp.com,ARLP,0.525,2018-10-26,2018-11-07,2018-11-06,2018-11-14
AMCON Distributing Co,http://www.amcon.com,DIT,0.18,2018-10-23,2018-11-07,2018-11-06,2018-11-27
Aptiv PLC,http://www.aptiv.com,APTV,0.22,2018-10-25,2018-11-07,2018-11-06,2018-11-21
Archrock Inc,http://www.archrock.com,AROC,0.132,2018-10-25,2018-11-07,2018-11-06,2018-11-14
BankFinancial Corp,http://bankfinancial.com,BFIN,0.1,2018-10-26,2018-11-07,2018-11-06,2018-11-23
BGC Partners Inc,http://www.bgcpartners.com,BGCP,0.18,2018-10-30,2018-11-07,2018-11-06,2018-11-28
Cabot Oil & Gas Corp,http://www.cabotog.com,COG,0.07,2018-10-26,2018-11-07,2018-11-06,2018-11-16
Columbia Banking System Inc,http://www.columbiabank.com,COLB,0.26,2018-10-25,2018-11-07,2018-11-06,2018-11-21
Columbia Banking System Inc,http://www.columbiabank.com,COLB,0.14,2018-10-25,2018-11-07,2018-11-06,2018-11-21
Commercial Metals Co,http://www.cmc.com,CMC,0.12,2018-10-23,2018-11-07,2018-11-06,2018-11-21
Crestwood Equity Partners LP,http://www.crestwoodlp.com,CEQP,0.6,2018-10-18,2018-11-07,2018-11-06,2018-11-14
Cypress Energy Partners LP,http://www.cypressenergy.com,CELP,0.21,2018-10-25,2018-11-07,2018-11-06,2018-11-14
Delta Air Lines Inc,http://www.delta.com,DAL,0.35,2018-10-24,2018-11-07,2018-11-06,2018-11-28
Employers Holdings Inc,http://www.employers.com,EIG,0.2,2018-10-24,2018-11-07,2018-11-06,2018-11-21
Enbridge Energy Partners LP,http://www.enbridgepartners.com,EEP,0.35,2018-10-24,2018-11-07,2018-11-06,2018-11-14
First Bancshares Inc,http://www.thefirstbank.com,FBMS,0.05,2018-10-24,2018-11-07,2018-11-06,2018-11-23
First Mid-Illinois Bancshares Inc,http://www.firstmid.com,FMBH,0.36,2018-10-25,2018-11-07,2018-11-06,2018-11-14
FirstEnergy Corp,http://www.firstenergycorp.com,FE,0.36,2018-09-18,2018-11-07,2018-11-06,2018-12-01
Golar LNG Partners LP,http://www.golarlngpartners.com,GMLP,0.4042,2018-10-25,2018-11-07,2018-11-06,2018-11-14
Green Bancorp Inc,http://www.greenbank.com,GNBC,0.1,2018-10-22,2018-11-07,2018-11-06,2018-11-21
Heritage Financial Corp,http://www.HF-WA.com,HFWA,0.17,2018-10-25,2018-11-07,2018-11-06,2018-11-21
Heritage Financial Corp,http://www.HF-WA.com,HFWA,0.1,2018-10-25,2018-11-07,2018-11-06,2018-11-21
Intel Corp,http://www.intel.com,INTC,0.3,2018-09-14,2018-11-07,2018-11-06,2018-12-01
Magellan Midstream Partners LP,http://www.magellanlp.com,MMP,0.9775,2018-10-25,2018-11-07,2018-11-06,2018-11-14
Marketaxess Holdings Inc,http://www.marketaxess.com,MKTX,0.42,2018-10-24,2018-11-07,2018-11-06,2018-11-21
Martin Midstream Partners LP,http://www.martinmidstream.com,MMLP,0.5,2018-10-18,2018-11-07,2018-11-06,2018-11-14
MDC Holdings Inc,http://ir.richmondamerican.com,MDC,0.3,2018-10-22,2018-11-07,2018-11-06,2018-11-21
